SegmentName;ProductName;Brand
CASA, CONSTRUÇÃO E JARDINAGEM;LAMPADA POWER LED BULBO A60 15W 6500K E27 XL;
CASA, CONSTRUÇÃO E JARDINAGEM;BUCHA PLASTICO WURTH W-S PLASTICO S/ ANEL 5,0;
CASA, CONSTRUÇÃO E JARDINAGEM;CORDA SISAL 10MM- C/20MTS;
CASA, CONSTRUÇÃO E JARDINAGEM;ESCORREDOR ARROZ 24CM 966672 FRATELLI;
CASA, CONSTRUÇÃO E JARDINAGEM;ABRACADEIRA ALUM.TIPO U 11/4 40MM AB34;
CASA, CONSTRUÇÃO E JARDINAGEM;TORNEIRA BOGNAR B.MOVEL PAREDE 1168C50 LIGHT;
CASA, CONSTRUÇÃO E JARDINAGEM;PA LIXO C/CABO LONGO PLAST   S.R;
CASA, CONSTRUÇÃO E JARDINAGEM;PA BICO MINASUL C/CABO METAL;
CASA, CONSTRUÇÃO E JARDINAGEM;ABRACADEIRA ALUM.TIPO U 2 AB36 60MM;
CASA, CONSTRUÇÃO E JARDINAGEM;BUCHA C/ANEL N06 IVPLAST;
CASA, CONSTRUÇÃO E JARDINAGEM;CAMISA LAMPIAO 500/600V**APFER;
CASA, CONSTRUÇÃO E JARDINAGEM;BOTINA CRIVAL PU ELASTICO S/BICO 46;
CASA, CONSTRUÇÃO E JARDINAGEM;ESCADA EXTENS. GALVANIZADA 5 D;
CASA, CONSTRUÇÃO E JARDINAGEM;TRENA JAPI 5m 2 TRAVAS FITA 19mm;
CASA, CONSTRUÇÃO E JARDINAGEM;ESPATULA MOMFORT LAMIN.08 C.MAD.086;
CASA, CONSTRUÇÃO E JARDINAGEM;PASTA SOLDA EMAVI 110GR;
CASA, CONSTRUÇÃO E JARDINAGEM;LAMPADA FLC COMP. 20W 127V;
CASA, CONSTRUÇÃO E JARDINAGEM;DUCHA FAME NOVA KIBANHO 4T 220V 6800W -;FAME
CASA, CONSTRUÇÃO E JARDINAGEM;SPUD PLASTICO BR LUCONI;
CASA, CONSTRUÇÃO E JARDINAGEM;EXTENSAO REDE RJ45 SEQ LOG INTE 2,10M;
CASA, CONSTRUÇÃO E JARDINAGEM;CALHA AMANO EMENDA PLUVIAL.;
