SegmentName;ProductName;Brand
COMÉRCIO VAREJISTA OU ESPECIALIZADO;PECA RETA PARA MICRO MOTOR BELTEC;
COMÉRCIO VAREJISTA OU ESPECIALIZADO;BULBO PARA MICRO MOTOR BELTEC;
COMÉRCIO VAREJISTA OU ESPECIALIZADO;MOTOR FOREDOM SR 110V  KIT PRO 2230;
COMÉRCIO VAREJISTA OU ESPECIALIZADO;CARVAO PARA MOTOR TRITON 110V;
COMÉRCIO VAREJISTA OU ESPECIALIZADO;MOTOR DE SUSPENSAO MANDRIL 110 V;
COMÉRCIO VAREJISTA OU ESPECIALIZADO;MOTOR DE CHICOTE MANDRIL 110V TRITON;
COMÉRCIO VAREJISTA OU ESPECIALIZADO;CANETA MANDRIL N-30 TRITON;
COMÉRCIO VAREJISTA OU ESPECIALIZADO;SILENCIADOR TRITON;
COMÉRCIO VAREJISTA OU ESPECIALIZADO;CHAPA DE COBRE 1MM X 50MM X 50MM ;
COMÉRCIO VAREJISTA OU ESPECIALIZADO;BROCA ESPIRAL 0,20MM;
COMÉRCIO VAREJISTA OU ESPECIALIZADO;BROCA ESPIRAL 0,25MM;
COMÉRCIO VAREJISTA OU ESPECIALIZADO;BROCA ESPIRAL 0.30MM;
COMÉRCIO VAREJISTA OU ESPECIALIZADO;BROCA ESPIRAL 0.35MM;
COMÉRCIO VAREJISTA OU ESPECIALIZADO;BROCA ESPIRAL 0.40MM;
COMÉRCIO VAREJISTA OU ESPECIALIZADO;BROCA ESPIRAL 0.45MM;
COMÉRCIO VAREJISTA OU ESPECIALIZADO;BROCA ESPIRAL 0.50MM;
COMÉRCIO VAREJISTA OU ESPECIALIZADO;BROCA ESPIRAL 0.55MM;
COMÉRCIO VAREJISTA OU ESPECIALIZADO;BROCA ESPIRAL 0.60MM;
COMÉRCIO VAREJISTA OU ESPECIALIZADO;BROCA ESPIRAL 0.65MM;
COMÉRCIO VAREJISTA OU ESPECIALIZADO;BROCA ESPIRAL 0.70MM;
COMÉRCIO VAREJISTA OU ESPECIALIZADO;BROCA ESPIRAL 0.75MM;
COMÉRCIO VAREJISTA OU ESPECIALIZADO;BROCA ESPIRAL 0.80MM;
COMÉRCIO VAREJISTA OU ESPECIALIZADO;BROCA ESPIRAL 0.85MM;
COMÉRCIO VAREJISTA OU ESPECIALIZADO;BROCA ESPIRAL 0.90MM;
COMÉRCIO VAREJISTA OU ESPECIALIZADO;BROCA ESPIRAL 0.95MM;
COMÉRCIO VAREJISTA OU ESPECIALIZADO;BROCA ESPIRAL 1.00MM;
COMÉRCIO VAREJISTA OU ESPECIALIZADO;BROCA ESPIRAL 1.05MM;
COMÉRCIO VAREJISTA OU ESPECIALIZADO;BROCA ESPIRAL 1.10MM;
COMÉRCIO VAREJISTA OU ESPECIALIZADO;BROCA ESPIRAL 1.15MM;
COMÉRCIO VAREJISTA OU ESPECIALIZADO;BROCA ESPIRAL 1.20MM;
COMÉRCIO VAREJISTA OU ESPECIALIZADO;BROCA ESPIRAL 1.25MM;
COMÉRCIO VAREJISTA OU ESPECIALIZADO;BROCA ESPIRAL 1.30MM;
