SegmentName;ProductName;Brand
MERCADOS, EMPÓRIOS E PADARIAS;CAVALINHA 90CAPS 700mg;Multivitta
MERCADOS, EMPÓRIOS E PADARIAS;CASTANHA DE CAJU W1 TORRADA GRANEL;Bel Saúde
MERCADOS, EMPÓRIOS E PADARIAS;CEVADINHA INTEGRAL GRANEL;Vida em Grãos
MERCADOS, EMPÓRIOS E PADARIAS;KOMBUCHA LOVE DE MORANGO  HIBISCO 400ml;Pod Kombucha
MERCADOS, EMPÓRIOS E PADARIAS;FARINHA DE AVEIA GRANEL;Naturale
MERCADOS, EMPÓRIOS E PADARIAS;FUNCHO GRANEL;Atacadão Natural
MERCADOS, EMPÓRIOS E PADARIAS;LIMAO DESIDRATADO FATIAS GRANEL;Vida em Grãos
MERCADOS, EMPÓRIOS E PADARIAS;MANJERICAO DESIDRATADO GRANEL;Qualytotal
MERCADOS, EMPÓRIOS E PADARIAS;MANJERONA DESIDRATADA GRANEL;Atacadão Natural
MERCADOS, EMPÓRIOS E PADARIAS;MIX DE NUTS GRANEL;RMoura
MERCADOS, EMPÓRIOS E PADARIAS;MIX DE VEGETAIS CHIPS GRANEL;Tropical Castanhas
MERCADOS, EMPÓRIOS E PADARIAS;NOZ MOSCADA EM PO GRANEL;Bela Cerealista
MERCADOS, EMPÓRIOS E PADARIAS;PROTEINA DE SOJA GRANULADA GRANEL;Terra dos Naturais
MERCADOS, EMPÓRIOS E PADARIAS;SABONETE NATURAL DE ARGILA BRANCA 90g;Lianda Natural
MERCADOS, EMPÓRIOS E PADARIAS;SABONETE NATURAL DE AROEIRA 90g;Lianda Natural
MERCADOS, EMPÓRIOS E PADARIAS;SABONETE NATURAL DE AROEIRA COM ARGILA 90g;Lianda Natural
MERCADOS, EMPÓRIOS E PADARIAS;SABONETE NATURAL DE AROEIRA COM BABOSA E BARBATIMAO 90g;Lianda Natural
MERCADOS, EMPÓRIOS E PADARIAS;SABONETE NATURAL DE AVEIA COM MEL 90g;Lianda Natural
MERCADOS, EMPÓRIOS E PADARIAS;SABONETE NATURAL DE HIBISCO 90g;Lianda Natural
MERCADOS, EMPÓRIOS E PADARIAS;SABONETE NATURAL DE AVEIA COM OLEO DE COCO 90g;Lianda Natural
MERCADOS, EMPÓRIOS E PADARIAS;SABONETE NATURAL DE BABOSA 90g;Lianda Natural
MERCADOS, EMPÓRIOS E PADARIAS;SABONETE NATURAL DE COPAIBA 90g;Lianda Natural
MERCADOS, EMPÓRIOS E PADARIAS;SABONETE NATURAL DE SETE ERVAS 90g;Lianda Natural
MERCADOS, EMPÓRIOS E PADARIAS;SPIRULINA 90CAPS MULTIVITTA 700mg;Multivitta
MERCADOS, EMPÓRIOS E PADARIAS;TEMPERO DE ERVAS FINAS GRANEL;Qualytotal
MERCADOS, EMPÓRIOS E PADARIAS;TOMILHO EM FLOCOS GRANEL;Qualytotal
MERCADOS, EMPÓRIOS E PADARIAS;ZIMBRO GRANEL;Tropical Castanhas
MERCADOS, EMPÓRIOS E PADARIAS;ARROZ CATETO GRANEL;Terra dos Naturais
MERCADOS, EMPÓRIOS E PADARIAS;BARRA DE CHOCOLATE 70% XYLITOL COM PISTACHE 30g;Fruto Cacau
MERCADOS, EMPÓRIOS E PADARIAS;BARRA DE CHOCOLATE 61% BEAN TO BAR CAFE 30g;Fruto Cacau
MERCADOS, EMPÓRIOS E PADARIAS;BARRA DE CHOCOLATE 70% XYLITOL 30g;Fruto Cacau
MERCADOS, EMPÓRIOS E PADARIAS;BARRA DE CHOCOLATE 70% ACUCAR DE COCO 80g;Fruto Cacau
MERCADOS, EMPÓRIOS E PADARIAS;BARRA DE CHOCOLATE 61% BEAN TO BAR CAFE 80g;Fruto Cacau
MERCADOS, EMPÓRIOS E PADARIAS;BARRA DE CHOCOLATE 80% BEAN TO BAR 80g;Fruto Cacau
MERCADOS, EMPÓRIOS E PADARIAS;BARRA DE CHOCOLATE 70% XYLITOL COM PISTACHE 80g;Fruto Cacau
MERCADOS, EMPÓRIOS E PADARIAS;BARRA DE CHOCOLATE 60% BEAN TO BAR 30g;Fruto Cacau
MERCADOS, EMPÓRIOS E PADARIAS;BARRA DE CHOCOLATE 60% BEAN TO BAR 80g;Fruto Cacau
MERCADOS, EMPÓRIOS E PADARIAS;BARRA DE CHOCOLATE 70% BEAN TO BAR 30g;Fruto Cacau
MERCADOS, EMPÓRIOS E PADARIAS;BARRA DE CHOCOLATE 70% BEAN TO BAR 80g;Fruto Cacau
MERCADOS, EMPÓRIOS E PADARIAS;ACUCAR DE COCO GRANEL;Vida em Grãos
MERCADOS, EMPÓRIOS E PADARIAS;ALECRIM DESIDRATADO GRANEL;Atacadão Natural
MERCADOS, EMPÓRIOS E PADARIAS;ALHO GRANULADO DESIDRATADO (NAO FRITO) GRANEL;Prima Fruta
