SegmentName;ProductName;Brand
BANCAS, QUIOSQUES E PAPELARIAS;LAPISEIRA SHIMMERS 0,7MM C/ 3 BIC;BIC
BANCAS, QUIOSQUES E PAPELARIAS;LÁPIS DE COR BIC AQUARELÁVEL BIC GRÁTIS 1 PINCEL;BIC
BANCAS, QUIOSQUES E PAPELARIAS;LÁPIS EVOLUTION PIJAMA BIC C/ 3;BIC
BANCAS, QUIOSQUES E PAPELARIAS;LÁPIS PRETO HB 2 EVOLUTION BIC C/ 4;BIC
BANCAS, QUIOSQUES E PAPELARIAS;LÁPIS PRETO BIC EVOLUTION 2B 4 UNIDADES;BIC
BANCAS, QUIOSQUES E PAPELARIAS;PINCEL ROMA CHATO RETO 615-24;ROMA
BANCAS, QUIOSQUES E PAPELARIAS;PINCEL CHATO TIGRE 815-20;TIGRE
BANCAS, QUIOSQUES E PAPELARIAS;PINCEL REDONDO TIGRE PINCTORE 835-00;TIGRE
BANCAS, QUIOSQUES E PAPELARIAS;PINCEL CHATO N 2 TIGRE;TIGRE
BANCAS, QUIOSQUES E PAPELARIAS;PINCEL ESCOLAR P/ PINTURA TIGRE N.16;TIGRE
BANCAS, QUIOSQUES E PAPELARIAS;PINCEL P/PINTURA TIGRE 266-14;TIGRE
BANCAS, QUIOSQUES E PAPELARIAS;PINCEL ESCOLAR TIGRE 266-10;TIGRE
BANCAS, QUIOSQUES E PAPELARIAS;PINCEL REDONDO P/ PINTURA TIGRE 266-2;TIGRE
BANCAS, QUIOSQUES E PAPELARIAS;PAPEL TRANSFER BRIGHT FOLHA AVULSO;TIGRE
BANCAS, QUIOSQUES E PAPELARIAS;PAPEL VEGETAL CANSON A4 60g/m C/ 50 FLS;CANSON
BANCAS, QUIOSQUES E PAPELARIAS;PAPEL VEGETAL CANSON A4 FOLHA AVULSO;CANSON
BANCAS, QUIOSQUES E PAPELARIAS;PAPEL SULFITE CHAMEQUINHO A4 100 FLS COR ROSA;CHAMEQUINHO
BANCAS, QUIOSQUES E PAPELARIAS;PAPEL SULFITE REPORT A4 100 PACOTE ROSA;REPORT
BANCAS, QUIOSQUES E PAPELARIAS;PAPEL SULFITE REPORT A4 100 PACOTE AZUL;REPORT
BANCAS, QUIOSQUES E PAPELARIAS;PAPEL SULFITE REPORT A4 100 PACOTE AMARELO;REPORT
BANCAS, QUIOSQUES E PAPELARIAS;PAPEL SULFITE REPORT A4 100 PACOTE VERDE;REPORT
BANCAS, QUIOSQUES E PAPELARIAS;ALFABETO MÓVEL EMBORRACHADO KREATEVA SORTIDO 124PCS;
BANCAS, QUIOSQUES E PAPELARIAS;ADESIVO 3D CREATIVE HPA2302;CREATIVE
BANCAS, QUIOSQUES E PAPELARIAS;ADESIVO 3D CREATIVE HPA2303;CREATIVE
BANCAS, QUIOSQUES E PAPELARIAS;ADESIVO CREATIVE GLA0209;CREATIVE
BANCAS, QUIOSQUES E PAPELARIAS;ADESIVO CREATIVE GLA0234;CREATIVE
BANCAS, QUIOSQUES E PAPELARIAS;ADESIVO CREATIVE GLA0216;CREATIVE
BANCAS, QUIOSQUES E PAPELARIAS;ADESIVO CREATIVE GLA0217;CREATIVE
BANCAS, QUIOSQUES E PAPELARIAS;ADESIVO CREATIVE GLA0229;CREATIVE
BANCAS, QUIOSQUES E PAPELARIAS;ADESIVO 3D CREATIVE CLA2101;CREATIVE
BANCAS, QUIOSQUES E PAPELARIAS;ADESIVO 3D CREATIVE CLA2103;CREATIVE
BANCAS, QUIOSQUES E PAPELARIAS;PAPEL COLOR 120 A4 OFFPINHO 25 FOLHAS COLORIDAS;OFF PAPER
BANCAS, QUIOSQUES E PAPELARIAS;PAPEL FOTOGRÁFICO MATTE FOSCO A4 OFF PAPER 100 FOLHAS;OFF PAPER
BANCAS, QUIOSQUES E PAPELARIAS;PAPEL FOTOGRÁFICO DUPLA FACE A4 OFF PAPER 20 FOLHAS;OFF PAPER
